ORIGIN,ORIGIN_CITY_NAME
BHM,"Birmingham, AL"
MFE,"Mission/McAllen/Edinburg, TX"
HSV,"Huntsville, AL"
MLI,"Moline, IL"
ACV,"Arcata/Eureka, CA"
FAT,"Fresno, CA"
GRR,"Grand Rapids, MI"
JAX,"Jacksonville, FL"
ATL,"Atlanta, GA"
PBI,"West Palm Beach/Palm Beach, FL"
JFK,"New York, NY"
RSW,"Fort Myers, FL"
COU,"Columbia, MO"
PWM,"Portland, ME"
GRB,"Green Bay, WI"
ATW,"Appleton, WI"
BFL,"Bakersfield, CA"
IND,"Indianapolis, IN"
TPA,"Tampa, FL"
ROC,"Rochester, NY"
AMA,"Amarillo, TX"
SYR,"Syracuse, NY"
LBB,"Lubbock, TX"
TUL,"Tulsa, OK"
SBP,"San Luis Obispo, CA"
MSN,"Madison, WI"
TUS,"Tucson, AZ"
CAK,"Akron, OH"
AEX,"Alexandria, LA"
DTW,"Detroit, MI"
SDF,"Louisville, KY"
ALB,"Albany, NY"
MIA,"Miami, FL"
CID,"Cedar Rapids/Iowa City, IA"
SHV,"Shreveport, LA"
RKS,"Rock Springs, WY"
CMH,"Columbus, OH"
GSP,"Greer, SC"
LIT,"Little Rock, AR"
PSP,"Palm Springs, CA"
MAF,"Midland/Odessa, TX"
ICT,"Wichita, KS"
EVV,"Evansville, IN"
DSM,"Des Moines, IA"
RDU,"Raleigh/Durham, NC"
CHS,"Charleston, SC"
LGA,"New York, NY"
PIA,"Peoria, IL"
MHK,"Manhattan/Ft. Riley, KS"
EAT,"Wenatchee, WA"
CLE,"Cleveland, OH"
SAV,"Savannah, GA"
FNT,"Flint, MI"
FWA,"Fort Wayne, IN"
HVN,"New Haven, CT"
CAE,"Columbia, SC"
TRI,"Bristol/Johnson City/Kingsport, TN"
SBN,"South Bend, IN"
BGR,"Bangor, ME"
DAY,"Dayton, OH"
ROA,"Roanoke, VA"
AVP,"Scranton/Wilkes-Barre, PA"
DAL,"Dallas, TX"
ERI,"Erie, PA"
LEX,"Lexington, KY"
MGM,"Montgomery, AL"
MOB,"Mobile, AL"
JAN,"Jackson/Vicksburg, MS"
MCO,"Orlando, FL"
ACY,"Atlantic City, NJ"
GPT,"Gulfport/Biloxi, MS"
EKO,"Elko, NV"
CKB,"Clarksburg/Fairmont, WV"
TTN,"Trenton, NJ"
ELM,"Elmira/Corning, NY"
RDD,"Redding, CA"
SJC,"San Jose, CA"
PNS,"Pensacola, FL"
SCE,"State College, PA"
DAB,"Daytona Beach, FL"
SRQ,"Sarasota/Bradenton, FL"
FAY,"Fayetteville, NC"
GSO,"Greensboro/High Point, NC"
BOI,"Boise, ID"
COS,"Colorado Springs, CO"
SIT,"Sitka, AK"
RAP,"Rapid City, SD"
FCA,"Kalispell, MT"
BZN,"Bozeman, MT"
MSO,"Missoula, MT"
ORF,"Norfolk, VA"
ART,"Watertown, NY"
GNV,"Gainesville, FL"
RIC,"Richmond, VA"
JLN,"Joplin, MO"
XNA,"Fayetteville, AR"
HPN,"White Plains, NY"
ABE,"Allentown/Bethlehem/Easton, PA"
LFT,"Lafayette, LA"
ISN,"Williston, ND"
BTR,"Baton Rouge, LA"
SGF,"Springfield, MO"
ECP,"Panama City, FL"
MLB,"Melbourne, FL"
BMI,"Bloomington/Normal, IL"
MLU,"Monroe, LA"
CRP,"Corpus Christi, TX"
TYS,"Knoxville, TN"
GRI,"Grand Island, NE"
RST,"Rochester, MN"
GCK,"Garden City, KS"
SUX,"Sioux City, IA"
CRW,"Charleston/Dunbar, WV"
ITH,"Ithaca/Cortland, NY"
SBY,"Salisbury, MD"
HOB,"Hobbs, NM"
OGG,"Kahului, HI"
CHO,"Charlottesville, VA"
SWF,"Newburgh/Poughkeepsie, NY"
PUB,"Pueblo, CO"
AVL,"Asheville, NC"
AZO,"Kalamazoo, MI"
LAR,"Laramie, WY"
SAN,"San Diego, CA"
LCH,"Lake Charles, LA"
MDT,"Harrisburg, PA"
GRK,"Killeen, TX"
TVC,"Traverse City, MI"
DRO,"Durango, CO"
LSE,"La Crosse, WI"
OAJ,"Jacksonville/Camp Lejeune, NC"
KOA,"Kona, HI"
SGU,"St. George, UT"
ALO,"Waterloo, IA"
CMI,"Champaign/Urbana, IL"
PGD,"Punta Gorda, FL"
ITO,"Hilo, HI"
BIL,"Billings, MT"
GJT,"Grand Junction, CO"
LIH,"Lihue, HI"
BTM,"Butte, MT"
PLN,"Pellston, MI"
DLH,"Duluth, MN"
FSM,"Fort Smith, AR"
SJT,"San Angelo, TX"
GTR,"Columbus, MS"
CHA,"Chattanooga, TN"
TWF,"Twin Falls, ID"
AGS,"Augusta, GA"
AZA,"Phoenix, AZ"
LAW,"Lawton/Fort Sill, OK"
MYR,"Myrtle Beach, SC"
LAN,"Lansing, MI"
BPT,"Beaumont/Port Arthur, TX"
DBQ,"Dubuque, IA"
LGB,"Long Beach, CA"
CGI,"Cape Girardeau, MO"
BUR,"Burbank, CA"
PIE,"St. Petersburg, FL"
MBS,"Saginaw/Bay City/Midland, MI"
HTS,"Ashland, WV"
SNA,"Santa Ana, CA"
SFB,"Sanford, FL"
HRL,"Harlingen/San Benito, TX"
DHN,"Dothan, AL"
HYS,"Hays, KS"
EGE,"Eagle, CO"
SAF,"Santa Fe, NM"
ABI,"Abilene, TX"
GTF,"Great Falls, MT"
MKK,"Hoolehua, HI"
LBE,"Latrobe, PA"
ABY,"Albany, GA"
EYW,"Key West, FL"
ILM,"Wilmington, NC"
BQK,"Brunswick, GA"
VLD,"Valdosta, GA"
EWN,"New Bern/Morehead/Beaufort, NC"
CSG,"Columbus, GA"
PGV,"Greenville, NC"
JAC,"Jackson, WY"
DIK,"Dickinson, ND"
SUN,"Sun Valley/Hailey/Ketchum, ID"
RHI,"Rhinelander, WI"
CWA,"Mosinee, WI"
TXK,"Texarkana, AR"
HIB,"Hibbing, MN"
ROW,"Roswell, NM"
ASE,"Aspen, CO"
HLN,"Helena, MT"
IDA,"Idaho Falls, ID"
TYR,"Tyler, TX"
SPI,"Springfield, IL"
LNY,"Lanai, HI"
MQT,"Marquette, MI"
CIU,"Sault Ste. Marie, MI"
JNU,"Juneau, AK"
GUC,"Gunnison, CO"
CPR,"Casper, WY"
LRD,"Laredo, TX"
MTJ,"Montrose/Delta, CO"
LYH,"Lynchburg, VA"
YUM,"Yuma, AZ"
FLG,"Flagstaff, AZ"
UIN,"Quincy, IL"
TOL,"Toledo, OH"
PIB,"Hattiesburg/Laurel, MS"
IPT,"Williamsport, PA"
STX,"Christiansted, VI"
OWB,"Owensboro, KY"
USA,"Concord, NC"
COD,"Cody, WY"
HDN,"Hayden, CO"
FLO,"Florence, SC"
KTN,"Ketchikan, AK"
MEI,"Meridian, MS"
HGR,"Hagerstown, MD"
MKG,"Muskegon, MI"
RFD,"Rockford, IL"
STT,"Charlotte Amalie, VI"
SCC,"Deadhorse, AK"
CLL,"College Station/Bryan, TX"
ESC,"Escanaba, MI"
SMX,"Santa Maria, CA"
SPS,"Wichita Falls, TX"
JHM,"Kapalua, HI"
INL,"International Falls, MN"
WRG,"Wrangell, AK"
HHH,"Hilton Head, SC"
BRO,"Brownsville, TX"
YKM,"Yakima, WA"
BRW,"Barrow, AK"
PSG,"Petersburg, AK"
MMH,"Mammoth Lakes, CA"
PIH,"Pocatello, ID"
OGD,"Ogden, UT"
SWO,"Stillwater, OK"
CMX,"Hancock/Houghton, MI"
IFP,"Bullhead City, AZ"
BGM,"Binghamton, NY"
BRD,"Brainerd, MN"
IMT,"Iron Mountain/Kingsfd, MI"
BLV,"Belleville, IL"
GCC,"Gillette, WY"
JMS,"Jamestown, ND"
ACT,"Waco, TX"
APN,"Alpena, MI"
OTH,"North Bend/Coos Bay, OR"
GGG,"Longview, TX"
ROP,"Rota, TT"
DVL,"Devils Lake, ND"
CDC,"Cedar City, UT"
PAH,"Paducah, KY"
PVU,"Provo, UT"
ADQ,"Kodiak, AK"
ORH,"Worcester, MA"
LCK,"Columbus, OH"
YNG,"Youngstown/Warren, OH"
SCK,"Stockton, CA"
OTZ,"Kotzebue, AK"
OME,"Nome, AK"
BET,"Bethel, AK"
PPG,"Pago Pago, TT"
DUT,"Unalaska, AK"
YAK,"Yakutat, AK"
CDV,"Cordova, AK"
PSM,"Portsmouth, NH"
OGS,"Ogdensburg, NY"
STC,"St. Cloud, MN"
ADK,"Adak Island, AK"
BFF,"Scottsbluff, NE"
SLN,"Salina, KS"
LBL,"Liberal, KS"
PQI,"Presque Isle/Houlton, ME"
SHD,"Staunton, VA"
EAR,"Kearney, NE"
LBF,"North Platte, NE"
PRC,"Prescott, AZ"
VEL,"Vernal, UT"
CNY,"Moab, UT"
LWB,"Lewisburg, WV"
BKG,"Branson, MO"
CYS,"Cheyenne, WY"
DRT,"Del Rio, TX"
XWA,"Williston, ND"
PAE,"Everett, WA"
PIR,"Pierre, SD"
ATY,"Watertown, SD"
BFM,"Mobile, AL"
SHR,"Sheridan, WY"
RIW,"Riverton/Lander, WY"
DEC,"Decatur, IL"
DDC,"Dodge City, KS"
ALS,"Alamosa, CO"
ACK,"Nantucket, MA"
AKN,"King Salmon, AK"
DLG,"Dillingham, AK"
CDB,"Cold Bay, AK"
VCT,"Victoria, TX"
JST,"Johnstown, PA"
FOD,"Fort Dodge, IA"
MCW,"Mason City, IA"
TBN,"Fort Leonard Wood, MO"
ILG,"Wilmington, DE"
BIH,"Bishop, CA"
